MASTER_SERIES_ID,TITLE,SEAMLESS_CODE,SEAMLESS_FLAG,SERIES_TYPE,CP_CD,MCP_CD,SERS_ENDBRD_YN,VIRTUAL_DVD_FLAG,RATING,ADULT_CATEGORY_ONLY,GENRE_MAIN,SUB_GENRE,GENRE_DISPLAY,ORIGIN_TITLE,ORIGIN_TITLE_LANG,DIRECTOR,WRITER_DISPLAY,ACTORS_DISPLAY,SEASON_NO,SUBTITLE_DUBBED,SUBTITLE_DUBBED_LANG,BROAD_CHANNEL,BROAD_DAY,APPLIED_SCREEN,COUNTRY_OF_ORIGIN,YEAR,MULTI_CAPTION_FLAG,MULTI_CAPTION_INFO,MULTI_AUDIO_FLAG,MULTI_AUDIO_INFO,DESCRIPTION,NOTICE_DESCRIPTION
90000000011757,괴물사변,1,Y,01,50005,50005,N,N,4,N,041000,,1402,,,,,,1,,,,화,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 매주 화요일에 업데이트 됩니다.]
예로부터 이 세상의 그림자에 숨어들어 사람들의 눈에 띄지 않으면서, 사람들과 관계되어 살아가는 ",
90000000011758,2.43 세인고교 남자 배구부 (자막),1,Y,01,00313,00313,N,N,4,N,041500,,1404,,,,,,1,,,,화,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 매주 화요일에 업데이트 됩니다.]
전국 대회 우승을 목표로 고군분투하는 고교 배구단을 그린 애니메이션
(1화를 무료로 시청하실 수 ",
90000000012555,먹방 버킷리스트,1,Y,01,52922,52922,N,N,4,N,090100,,1805,,,,,,1,,,,,"TV,PHONE,PAD,PC",KOR,,N,,N,,"먹방의 원조, 먹방의 대가, 아프리카TV 먹방 BJ들의 리얼 먹방쇼",
90000000012403,달이 뜨는 강,0,N,01,00033,00033,N,N,4,N,030500,,1101,,,윤상호,한지훈,"김소현,지수,이지훈,최유화,강하늘",1,,,KBS2,"월,화","TV,PHONE,PAD",KOR,,N,,N,,고구려가 삶의 전부였던 공주 '평강' 사랑을 역사로 만든 장군 '온달' 운명에 굴하지 않은 그들의 순애보!,
90000000010919,진격의 거인 The Final Season,1,Y,01,00274,00274,N,N,5,N,040300,,1402,,,,,,1,,,,,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 매주 수요일에 업데이트 됩니다.]
그 거인은 언제 어떤 시대에도 자유를 갈망하며 나아갔다. 자유를 위해 싸웠다. 그 이름은 '진격의 거",
90000000012701,맹처식신 (상),0,N,01,50281,00239,N,N,4,N,031100,,1205,,,조금도,,"종단니,서지현,조로사",1,,,기타,"화,수,목,금,토","TV,PHONE,PAD,PC",CHN,2018,N,,N,,"[매주 수-일 업데이트 예정입니다.]
비정규직 셰프로 일하던 예자야오는 신비한 힘을 지닌 반지를 끼고 고대로 타임 슬립하게 된다. 어리둥절한 상황에",
90000000012641,독립만세,1,Y,01,00461,00461,N,N,4,N,050100,,1102,,,,,"붐,김희철,송은이,악동뮤지션,재재,김민석",1,,,JTBC,월,"TV,PHONE,PAD,PC",KOR,,N,,N,,한 번도 혼자 살아보지 않았던 연예인이 생애 최초로 독립에 도전하는 새로운 형태의 관찰 예능 프로그램,
90000000012686,종결혼개시연애 (하),0,N,01,52261,52261,Y,N,4,N,030600,030500,1206,,4,쉬츠,,"저우위퉁,궁쥔,진쩌,우만스",1,1,1,기타,"월,금","TV,PHONE,PAD,PC",CHN,2020,N,,N,,"[본 시리즈는 매주 화~토요일에 업데이트 될 예정입니다.]
남자 친구도 없이 일에만 매달려 사는 서른살 루팡닝. 루밍 그룹 대표로서 능력을 인정받고 ",
90000000012440,썰바이벌,1,Y,01,53262,00239,N,N,4,N,050100,,1102,,,백일두,,"박나래,김지민,황보라",1,,,기타,목,"TV,PHONE,PAD,PC",KOR,2021,N,,N,,"[매주 수요일 업데이트 예정입니다.]
썰 VS 썰, 썰바이벌! 당신의 썰이 밸런스 게임이 됩니다! 어느 것도 고르고 싶지 않은 마라 맛 썰 선택지를 두고 즉",
90000000012400,WayVision 2 : 동계 스포츠 채널 (웨이비전 2),0,N,01,53861,53861,N,N,3,N,150000,,2101,,,,,,1,,,,,"TV,PHONE,PAD,PC",KOR,,N,,N,,하얀 설원 위 뜨거운 승부! <WayVision2> 열정 MAX!! 추위를 잊은 일곱 멤버들의 예측불허 동계스포츠! WayV 7인의 반전 매력 대방출! 채널 고정~! <WayVision2>,
